delta: 0.0701234, theta: 0.564588, alpha: 0.0341217, beta: 0.482866, gamma: 0.528011signal: 0
delta: 0.514637, theta: 0.513305, alpha: 0.112945, beta: 0.259544, gamma: 0.152543signal: 0
delta: 0.59795, theta: 0.745918, alpha: 0.648185, beta: 0.0497425, gamma: 0.0219524signal: 0
delta: 0.192358, theta: 0.966851, alpha: 0.867241, beta: 0.722887, gamma: 0.570135signal: 0
delta: 0.166497, theta: 0.309994, alpha: 0.0628447, beta: 0.231166, gamma: 0.206839signal: 0
delta: 0.13518, theta: 0.971016, alpha: 0.866178, beta: 0.858511, gamma: 0.993373signal: 0
delta: 0.778533, theta: 0.811987, alpha: 0.0739452, beta: 0.797424, gamma: 0.309717signal: 0
delta: 0.772417, theta: 0.017417, alpha: 0.727811, beta: 0.32085, gamma: 0.520783signal: 0
delta: 0.2019, theta: 0.336686, alpha: 0.685647, beta: 0.666984, gamma: 0.994673signal: 0
delta: 0.108712, theta: 0.116587, alpha: 0.480738, beta: 0.766497, gamma: 0.515783signal: 0
delta: 0.0735261, theta: 0.753637, alpha: 0.379624, beta: 0.338948, gamma: 0.696906signal: 0
delta: 0.990722, theta: 0.0733591, alpha: 0.946217, beta: 0.0650257, gamma: 0.887007signal: 0
delta: 0.554368, theta: 0.267262, alpha: 0.865081, beta: 0.423154, gamma: 0.945739signal: 0
delta: 0.736003, theta: 0.00694743, alpha: 0.765555, beta: 0.687891, gamma: 0.382515signal: 0
delta: 0.596941, theta: 0.79394, alpha: 0.746765, beta: 0.877025, gamma: 0.167005signal: 0
delta: 0.876904, theta: 0.133542, alpha: 0.445253, beta: 0.362238, gamma: 0.137664signal: 0
delta: 0.479152, theta: 0.105947, alpha: 0.64586, beta: 0.977627, gamma: 0.977636signal: 0
delta: 0.774311, theta: 0.84096, alpha: 0.0242699, beta: 0.903932, gamma: 0.39396signal: 0
delta: 0.209668, theta: 0.887741, alpha: 0.269716, beta: 0.109304, gamma: 0.0705784signal: 0
delta: 0.211352, theta: 0.196306, alpha: 0.314763, beta: 0.230082, gamma: 0.996505signal: 0
delta: 0.848338, theta: 0.0114352, alpha: 0.192001, beta: 0.964214, gamma: 0.540642signal: 0
delta: 0.333358, theta: 0.745506, alpha: 0.7271, beta: 0.369092, gamma: 0.322981signal: 0
delta: 0.762863, theta: 0.440113, alpha: 0.974179, beta: 0.0352674, gamma: 0.739898signal: 0
delta: 0.631782, theta: 0.3636, alpha: 0.0255753, beta: 0.843742, gamma: 0.77468signal: 0
delta: 0.530254, theta: 0.977321, alpha: 0.829286, beta: 0.804326, gamma: 0.30706signal: 0
delta: 0.822858, theta: 0.782664, alpha: 0.239905, beta: 0.081008, gamma: 0.500749signal: 0
delta: 0.736942, theta: 0.783538, alpha: 0.927339, beta: 0.786505, gamma: 0.7847signal: 0
delta: 0.826873, theta: 0.25575, alpha: 0.395934, beta: 0.464982, gamma: 0.950594signal: 0
delta: 0.254836, theta: 0.0219474, alpha: 0.870096, beta: 0.700965, gamma: 0.119705signal: 0
delta: 0.949099, theta: 0.512826, alpha: 0.0715458, beta: 0.470671, gamma: 0.574121signal: 0
delta: 0.079924, theta: 0.282026, alpha: 0.0146054, beta: 0.472679, gamma: 0.311384signal: 0
delta: 0.131957, theta: 0.794415, alpha: 0.73071, beta: 0.0469951, gamma: 0.846757signal: 0
delta: 0.91453, theta: 0.502738, alpha: 0.524267, beta: 0.364218, gamma: 0.405454signal: 0
delta: 0.0852109, theta: 0.139547, alpha: 0.366832, beta: 0.347989, gamma: 0.659741signal: 0
delta: 0.0185157, theta: 0.192877, alpha: 0.685927, beta: 0.381651, gamma: 0.410553signal: 0
delta: 0.228174, theta: 0.925907, alpha: 0.716647, beta: 0.684946, gamma: 0.885324signal: 0
delta: 0.525057, theta: 0.628849, alpha: 0.0672175, beta: 0.72482, gamma: 0.0425396signal: 0
delta: 0.45086, theta: 0.604293, alpha: 0.356595, beta: 0.293667, gamma: 0.658998signal: 0
delta: 0.754618, theta: 0.871693, alpha: 0.553786, beta: 0.478469, gamma: 0.63425signal: 0
delta: 0.450447, theta: 0.667673, alpha: 0.573435, beta: 0.718131, gamma: 0.625972signal: 0
delta: 0.079303, theta: 0.844991, alpha: 0.771858, beta: 0.616343, gamma: 0.879004signal: 0
delta: 0.0727455, theta: 0.633856, alpha: 0.219243, beta: 0.823454, gamma: 0.796355signal: 0
delta: 0.164007, theta: 0.468971, alpha: 0.00138525, beta: 0.28186, gamma: 0.217555signal: 0
delta: 0.173267, theta: 0.100323, alpha: 0.134422, beta: 0.228028, gamma: 0.46107signal: 0
delta: 0.03739, theta: 0.413906, alpha: 0.511643, beta: 0.184248, gamma: 0.664119signal: 0
delta: 0.82726, theta: 0.755863, alpha: 0.790498, beta: 0.909278, gamma: 0.231162signal: 0
delta: 0.623899, theta: 0.867715, alpha: 0.695766, beta: 0.745672, gamma: 0.516942signal: 0
delta: 0.288863, theta: 0.918424, alpha: 0.951526, beta: 0.299856, gamma: 0.676signal: 0
delta: 0.740238, theta: 0.18117, alpha: 0.930824, beta: 0.362363, gamma: 0.231648signal: 0
delta: 0.191351, theta: 0.0290071, alpha: 0.523066, beta: 0.173382, gamma: 0.0373263signal: 0
delta: 0.166647, theta: 0.837105, alpha: 0.220023, beta: 0.922887, gamma: 0.958486signal: 0
delta: 0.254722, theta: 0.111053, alpha: 0.472205, beta: 0.349893, gamma: 0.644844signal: 0
delta: 0.515321, theta: 0.00862896, alpha: 0.0269425, beta: 0.823152, gamma: 0.714412signal: 0
delta: 0.97009, theta: 0.303185, alpha: 0.626041, beta: 0.875213, gamma: 0.699153signal: 0
delta: 0.104804, theta: 0.448559, alpha: 0.937091, beta: 0.682823, gamma: 0.215065signal: 0
delta: 0.628508, theta: 0.335936, alpha: 0.0764112, beta: 0.242675, gamma: 0.636768signal: 0
delta: 0.880339, theta: 0.854111, alpha: 0.0480989, beta: 0.398172, gamma: 0.0716175signal: 0
delta: 0.460734, theta: 0.556372, alpha: 0.949309, beta: 0.0454772, gamma: 0.335282signal: 0
delta: 0.169352, theta: 0.296657, alpha: 0.909368, beta: 0.748515, gamma: 0.294915signal: 0
delta: 0.515232, theta: 0.497326, alpha: 0.553901, beta: 0.413015, gamma: 0.539337signal: 0
delta: 0.988178, theta: 0.316534, alpha: 0.990478, beta: 0.958943, gamma: 0.952536signal: 0
delta: 0.148211, theta: 0.978702, alpha: 0.0423517, beta: 0.804723, gamma: 0.981927signal: 0
delta: 0.253, theta: 0.163755, alpha: 0.233653, beta: 0.0119537, gamma: 0.905701signal: 0
delta: 0.388695, theta: 0.791205, alpha: 0.785785, beta: 0.693132, gamma: 0.463989signal: 0
delta: 0.216642, theta: 0.0968953, alpha: 0.519438, beta: 0.201481, gamma: 0.296538signal: 0
delta: 0.753878, theta: 0.431633, alpha: 0.450305, beta: 0.285208, gamma: 0.497657signal: 0
delta: 0.293282, theta: 0.185425, alpha: 0.430687, beta: 0.551921, gamma: 0.132366signal: 0
delta: 0.0958422, theta: 0.819306, alpha: 0.0767412, beta: 0.788651, gamma: 0.864967signal: 0
delta: 0.730397, theta: 0.782963, alpha: 0.267377, beta: 0.799204, gamma: 0.2252signal: 0
delta: 0.301779, theta: 0.00773366, alpha: 0.979683, beta: 0.536307, gamma: 0.720168signal: 0
delta: 0.870104, theta: 0.848038, alpha: 0.97782, beta: 0.216641, gamma: 0.0895855signal: 0
delta: 0.643706, theta: 0.768108, alpha: 0.589324, beta: 0.761966, gamma: 0.362104signal: 0
delta: 0.303468, theta: 0.387072, alpha: 0.520949, beta: 0.596015, gamma: 0.219238signal: 0
delta: 0.0955577, theta: 0.039351, alpha: 0.372633, beta: 0.838121, gamma: 0.296894signal: 0
delta: 0.709931, theta: 0.814167, alpha: 0.714627, beta: 0.734023, gamma: 0.724216signal: 0
delta: 0.646239, theta: 0.342899, alpha: 0.107648, beta: 0.24386, gamma: 0.553156signal: 0
delta: 0.977397, theta: 0.115581, alpha: 0.565958, beta: 0.0641837, gamma: 0.735163signal: 0
delta: 0.302757, theta: 0.429569, alpha: 0.77441, beta: 0.51571, gamma: 0.532479signal: 0
delta: 0.548605, theta: 0.401878, alpha: 0.363404, beta: 0.738226, gamma: 0.368899signal: 0
delta: 0.913395, theta: 0.432271, alpha: 0.185126, beta: 0.409257, gamma: 0.380897signal: 0
delta: 0.335746, theta: 0.88085, alpha: 0.443011, beta: 0.694479, gamma: 0.102513signal: 0
delta: 0.828813, theta: 0.865398, alpha: 0.742447, beta: 0.313442, gamma: 0.0189718signal: 0
delta: 0.477325, theta: 0.40573, alpha: 0.0996717, beta: 0.182044, gamma: 0.616544signal: 0
delta: 0.0236934, theta: 0.2156, alpha: 0.582177, beta: 0.656437, gamma: 0.739282signal: 0
delta: 0.86864, theta: 0.231462, alpha: 0.174337, beta: 0.083739, gamma: 0.400942signal: 0
delta: 0.282452, theta: 0.168283, alpha: 0.324855, beta: 0.844926, gamma: 0.668684signal: 0
delta: 0.0440036, theta: 0.569003, alpha: 0.231499, beta: 0.801863, gamma: 0.91513signal: 0
delta: 0.874914, theta: 0.675195, alpha: 0.00945541, beta: 0.917034, gamma: 0.59033signal: 0
delta: 0.850541, theta: 0.051927, alpha: 0.736507, beta: 0.476597, gamma: 0.170657signal: 0
delta: 0.276095, theta: 0.321625, alpha: 0.551986, beta: 0.223995, gamma: 0.691247signal: 0
delta: 0.326204, theta: 0.514216, alpha: 0.423561, beta: 0.792959, gamma: 0.265879signal: 0
delta: 0.575093, theta: 0.591205, alpha: 0.382337, beta: 0.937582, gamma: 0.944284signal: 0
delta: 0.112449, theta: 0.933156, alpha: 0.546654, beta: 0.607082, gamma: 0.227437signal: 0
delta: 0.770215, theta: 0.00913862, alpha: 0.592841, beta: 0.879972, gamma: 0.694712signal: 0
delta: 0.575988, theta: 0.633941, alpha: 0.64034, beta: 0.19195, gamma: 0.0995486signal: 0
delta: 0.421955, theta: 0.800203, alpha: 0.0114627, beta: 0.653702, gamma: 0.77295signal: 0
delta: 0.721212, theta: 0.408464, alpha: 0.0508135, beta: 0.0229383, gamma: 0.52367signal: 0
delta: 0.914749, theta: 0.188105, alpha: 0.484864, beta: 0.109991, gamma: 0.624726signal: 0
delta: 0.145174, theta: 0.94593, alpha: 0.241767, beta: 0.384317, gamma: 0.217355signal: 0
delta: 0.030571, theta: 0.806659, alpha: 0.525739, beta: 0.103856, gamma: 0.509117signal: 0
delta: 0.438611, theta: 0.733873, alpha: 0.196221, beta: 0.885238, gamma: 0.195389signal: 0
delta: 0.136932, theta: 0.416556, alpha: 0.0633987, beta: 0.542471, gamma: 0.317215signal: 0
delta: 0.27422, theta: 0.817217, alpha: 0.971914, beta: 0.959136, gamma: 0.1945signal: 0
delta: 0.220655, theta: 0.554313, alpha: 0.336816, beta: 0.8636, gamma: 0.528819signal: 0
delta: 0.00114696, theta: 0.277036, alpha: 0.147522, beta: 0.401835, gamma: 0.636139signal: 0
delta: 0.0974386, theta: 0.650056, alpha: 0.498943, beta: 0.734466, gamma: 0.179733signal: 0
delta: 0.253494, theta: 0.4822, alpha: 0.328688, beta: 0.263176, gamma: 0.206019signal: 0
delta: 0.315955, theta: 0.255969, alpha: 0.0742103, beta: 0.252342, gamma: 0.117946signal: 0
delta: 0.824324, theta: 0.421178, alpha: 0.743808, beta: 0.175628, gamma: 0.785713signal: 0
delta: 0.464881, theta: 0.253165, alpha: 0.937084, beta: 0.569646, gamma: 0.0471108signal: 0
delta: 0.730676, theta: 0.472375, alpha: 0.210814, beta: 0.151762, gamma: 0.669896signal: 0
delta: 0.608265, theta: 0.115016, alpha: 0.0765718, beta: 0.942976, gamma: 0.59366signal: 0
delta: 0.93752, theta: 0.895057, alpha: 0.232973, beta: 0.571625, gamma: 0.30774signal: 0
delta: 0.0886077, theta: 0.229577, alpha: 0.496239, beta: 0.285535, gamma: 0.987166signal: 0
delta: 0.221719, theta: 0.424645, alpha: 0.0138347, beta: 0.520429, gamma: 0.848896signal: 0
delta: 0.182188, theta: 0.0399013, alpha: 0.621805, beta: 0.669997, gamma: 0.644243signal: 0
delta: 0.347022, theta: 0.398072, alpha: 0.39506, beta: 0.782181, gamma: 0.115468signal: 0
delta: 0.307747, theta: 0.299384, alpha: 0.751942, beta: 0.897212, gamma: 0.445012signal: 0
delta: 0.230238, theta: 0.606185, alpha: 0.147307, beta: 0.789104, gamma: 0.477754signal: 0
delta: 0.0723262, theta: 0.586289, alpha: 0.756398, beta: 0.786871, gamma: 0.939059signal: 0
delta: 0.794759, theta: 0.513051, alpha: 0.847933, beta: 0.215744, gamma: 0.00979197signal: 0
delta: 0.124247, theta: 0.212006, alpha: 0.184067, beta: 0.608587, gamma: 0.52173signal: 0
delta: 0.898606, theta: 0.869578, alpha: 0.992689, beta: 0.127443, gamma: 0.929105signal: 0
delta: 0.274163, theta: 0.853392, alpha: 0.961766, beta: 0.408102, gamma: 0.972104signal: 0
delta: 0.561602, theta: 0.85145, alpha: 0.31683, beta: 0.957702, gamma: 0.099246signal: 0
delta: 0.336052, theta: 0.0216005, alpha: 0.0391533, beta: 0.0503624, gamma: 0.441667signal: 0
delta: 0.675188, theta: 0.883897, alpha: 0.656299, beta: 0.414146, gamma: 0.559676signal: 0
delta: 0.823741, theta: 0.621867, alpha: 0.726189, beta: 0.0633665, gamma: 0.000683185signal: 0
delta: 0.0379181, theta: 0.28965, alpha: 0.149496, beta: 0.579254, gamma: 0.523031signal: 1
delta: 0.528589, theta: 0.00147856, alpha: 0.850225, beta: 0.73261, gamma: 0.974191signal: 1
delta: 0.784728, theta: 0.927399, alpha: 0.789509, beta: 0.273015, gamma: 0.564115signal: 1
delta: 0.040348, theta: 0.129343, alpha: 0.871727, beta: 0.116823, gamma: 0.438486signal: 1
delta: 0.250955, theta: 0.808929, alpha: 0.670375, beta: 0.999513, gamma: 0.820356signal: 1
delta: 0.0173464, theta: 0.540285, alpha: 0.566104, beta: 0.502825, gamma: 0.989184signal: 1
delta: 0.128313, theta: 0.561254, alpha: 0.995478, beta: 0.00838066, gamma: 0.853844signal: 1
delta: 0.351156, theta: 0.877541, alpha: 0.841534, beta: 0.657763, gamma: 0.0304335signal: 1
delta: 0.912151, theta: 0.524627, alpha: 0.40252, beta: 0.149753, gamma: 0.907072signal: 1
